title,price,pricePerSqft,areaSqft,location,city,bedrooms,bathrooms,furnishing,facing,reraStatus,latitude,longitude,propertyUrl
Vandalur Apartments,Rs. 90 Lac,6428,1400,"Vandalur, GST Road",Chennai South,3,3,Semifurnished,N/A,NO,80.220425,12.979635,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vandalur-chennai-south-1400-sq-ft-spid-I81817620
Frontier Tulip,Rs. 99.5 Lac to 1.23 Crore,5613,N/A,"Urapakkam, Chennai",Chennai South,3,0,N/A,N/A,NO,12.86527451,80.06612176,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-frontier-tulip-urapakkam-chennai-south-1768-sq-ft-to-2195-sq-ft-npspid-Y81645965
Frontier Tulip,Rs. 62 Lac to 70 Lac,5765,N/A,"Urapakkam, Chennai",Chennai South,2,0,N/A,N/A,NO,12.86527451,80.06612176,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-frontier-tulip-urapakkam-chennai-south-1070-sq-ft-to-1220-sq-ft-npspid-X81645963
Casagrand Primrose,Rs. 48 Lac to 49.07 Lac,4289,N/A,"Perungalathur, Chennai",Chennai South,2,0,N/A,N/A,NO,12.88922165,80.03226721,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-casagrand-primrose-perungalathur-chennai-south-1119-sq-ft-to-1144-sq-ft-npspid-Q81851718
Casagrand Primrose,Rs. 1.54 Crore to 1.54 Crore,4298,N/A,"Perungalathur, Chennai",Chennai South,4,0,N/A,N/A,NO,12.88922165,80.03226721,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-casagrand-primrose-perungalathur-chennai-south-3583-sq-ft-to-3588-sq-ft-npspid-U81851722
Casagrand Primrose,Rs. 67 Lac to 74.19 Lac,4381,N/A,"Perungalathur, Chennai",Chennai South,3,0,N/A,N/A,NO,12.88922165,80.03226721,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-casagrand-primrose-perungalathur-chennai-south-1529-sq-ft-to-1693-sq-ft-npspid-M81851720
Meera Nagar,Rs. 42.85 Lac to 74.25 Lac,5500,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,NO,12.888865,80.062917,https://www.99acres.com/residential-land-plot-for-sale-in-meera-nagar-vandalur-chennai-south-87-sq-yard-to-150-sq-yard-npspid-G80209083
Hitech Bavani Breeze,Rs. 40.04 Lac to 59.99 Lac,4999,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,NO,12.8931,80.08172,https://www.99acres.com/residential-land-plot-for-sale-in-hitech-bavani-breeze-vandalur-chennai-south-89-sq-yard-to-133-sq-yard-npspid-Y81646269
N/A,Rs. 2.2 Crore,7586,2100,"Old Perungalathur, Chennai",Chennai South,5,7,Semifurnished,7,NO,12.917108,80.088781,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-old-perungalathur-chennai-south-2900-sq-ft-spid-U81920782
Indus Habiterra,Rs. 1.85 Crore,9487,1950,"Urapakkam, Chennai",Chennai South,3,3,Furnished,N/A,NO,12.868005,80.07531,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-indus-habiterra-urapakkam-chennai-south-1950-sq-ft-spid-Z81313431
SSM Nagar Housing Complex,Rs. 65 Lac,6366,1021,"New perungalathur, Perungalathur",Chennai South,2,2,Furnished,1,NO,12.898288,80.102468,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ssm-nagar-housing-complex-new-perungalathur-chennai-south-1021-sq-ft-spid-O81096811
N/A,Rs. 82 Lac,3416,N/A,"Kannadasan Nagar, Mannivakkam, Urapakkam",Chennai South,N/A,0,N/A,1,NO,12.86261778,80.05816708,https://www.99acres.com/residential-land-plot-for-sale-in-kannadasan-nagar-mannivakkam-chennai-south-267-sq-yard-r1-spid-Y77732225
Premier SV Nilayam Perungalathur,Rs. 23.98 Lac to 95.9 Lac,3996,N/A,"Perungalathur, Chennai",Chennai South,N/A,0,N/A,N/A,NO,12.913175,80.076524,https://www.99acres.com/residential-land-plot-for-sale-in-premier-sv-nilayam-perungalathur-perungalathur-chennai-south-67-sq-yard-to-267-sq-yard-npspid-L81522537
Elephantine Easton Enclave,Rs. 61.3 Lac to 1.18 Crore,8250,N/A,"New perungalathur, Perungalathur",Chennai South,N/A,0,N/A,N/A,NO,12.890075,80.118582,https://www.99acres.com/residential-land-plot-for-sale-in-elephantine-easton-enclave-new-perungalathur-chennai-south-83-sq-yard-to-159-sq-yard-npspid-B81353801
Arun Desh Apartments,"Rs. 8,000",5,1550,"Urapakkam, Chennai",Chennai South,3,3,Semifurnished,3,NO,12.857457,80.071128,https://www.99acres.com/paying-guest-pg-for-rent-in-arun-desh-apartments-urapakkam-chennai-south-r1-spid-F79546223
Vishwak Aira Avenue,Available on Request,0,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,YES,12.89130998,80.08097137,https://www.99acres.com/residential-land-plot-for-sale-in-vishwak-aira-avenue-vandalur-chennai-south-59-sq-yard-to-253-sq-yard-npspid-Z81525915
Nova NCR,Rs. 49.23 Lac,7764,N/A,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,3,YES,12.875955,80.064662,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-nova-ncr-urapakkam-chennai-south-900-sq-ft-r1-spid-J78851909
MS Erani Amman Nagar,Rs. 92.5 Lac,4501,N/A,"Vandalur, GST Road",Chennai South,N/A,0,N/A,N/A,NO,12.89,80.08,https://www.99acres.com/residential-land-plot-for-sale-in-vandalur-chennai-south-228-sq-yard-spid-T81543433
PLOT NO 10,Rs. 65 Lac,6500,N/A,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,1,YES,12.86802,80.07245,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-800-sq-ft-r1-spid-A78727933
Shriram Park 63,Rs. 98 Lac to 1.72 Crore,7623,N/A,"Perungalathur, Chennai",Chennai South,3,0,N/A,N/A,YES,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1385-sq-ft-to-2135-sq-ft-npspid-W81758648
Shriram Park 63,Rs. 92.65 Lac to 1 Crore,8162,N/A,"Perungalathur, Chennai",Chennai South,2,0,N/A,N/A,YES,12.902142,80.093945,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1135-sq-ft-to-1225-sq-ft-npspid-W81758646
N/A,Rs. 72.73 Lac,3800,N/A,"Kannadasan Nagar, Mannivakkam, Urapakkam",Chennai South,N/A,0,N/A,3,NO,12.86261778,80.05816708,https://www.99acres.com/residential-land-plot-for-sale-in-kannadasan-nagar-mannivakkam-chennai-south-213-sq-yard-spid-I81432473
Shriram Park 63,Rs. 98 Lac to 1.72 Crore,7623,N/A,"Perungalathur, Chennai",Chennai South,3,0,N/A,N/A,YES,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1385-sq-ft-to-2135-sq-ft-npspid-M81856256
N/A,Rs. 49 Lac,7000,N/A,"Urapakkam West, Chennai",Chennai South,2,2,Unfurnished,N/A,YES,12.862131,80.055627,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-700-sq-ft-r1-spid-X78979489
N/A,Rs. 65 Lac,7004,N/A,"Urapakkam West, Chennai",Chennai South,3,3,Unfurnished,N/A,YES,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-928-sq-ft-r1-spid-J78993367
N/A,Rs. 70.24 Lac,6800,N/A,"Urapakkam West, Chennai",Chennai South,2,2,Unfurnished,N/A,YES,12.862131,80.055627,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-1200-sq-ft-r1-spid-U78991825
N/A,Rs. 65 Lac,7042,N/A,"Urapakkam West, Chennai",Chennai South,3,3,Unfurnished,N/A,YES,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-923-sq-ft-r1-spid-P79021761
N/A,Rs. 80 Lac,8421,N/A,"Urapakkam, Chennai",Chennai South,2,2,N/A,3,NO,12.8695453,80.0620489,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-chennai-south-1295-sq-ft-spid-V81152389
N/A,Rs. 49 Lac,5355,N/A,"Perungalathur, Chennai",Chennai South,2,2,Unfurnished,1,NO,13.05142114,80.14606477,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-perungalathur-chennai-south-915-sq-ft-spid-Z81380433
N/A,Rs. 28.5 Lac,4495,N/A,"Urapakkam West, Chennai",Chennai South,N/A,0,N/A,N/A,YES,12.862131,80.055627,https://www.99acres.com/residential-land-plot-for-sale-in-urapakkam-west-chennai-south-70-sq-yard-r1-spid-O78979831
N/A,Rs. 60.15 Lac,7518,N/A,"Vandalur, GST Road",Chennai South,2,2,Unfurnished,1,YES,12.89,80.08,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-vandalur-chennai-south-1050-sq-ft-r1-spid-K79012409
Nova NCR,Rs. 56.16 Lac,7126,N/A,"Urapakkam, Chennai",Chennai South,2,2,Unfurnished,2,YES,12.875955,80.064662,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-nova-ncr-urapakkam-chennai-south-900-sq-ft-r1-spid-C78853551
N/A,Rs. 77.32 Lac,6800,N/A,"Urapakkam West, Chennai",Chennai South,2,2,Unfurnished,3,YES,12.862131,80.055627,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-900-sq-ft-r1-spid-E79033789
N/A,Rs. 67 Lac,6802,N/A,"Urapakkam West, Chennai",Chennai South,3,3,Unfurnished,N/A,YES,12.862131,80.055627,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-985-sq-ft-r1-spid-M78971583
N/A,Rs. 52.2 Lac,7457,N/A,"Urapakkam West, Chennai",Chennai South,2,2,Unfurnished,6,YES,12.862131,80.055627,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-urapakkam-west-chennai-south-900-sq-ft-r1-spid-M79012255
Shriram Park 63,Rs. 98 Lac to 1.72 Crore,7623,N/A,"Perungalathur, Chennai",Chennai South,3,0,N/A,N/A,NO,12.902142,80.093945,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1385-sq-ft-to-2135-sq-ft-npspid-V81783282
Shriram Park 63,Rs. 92.65 Lac to 1 Crore,8162,N/A,"Perungalathur, Chennai",Chennai South,2,0,N/A,N/A,NO,12.902142,80.093945,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shriram-park-63-perungalathur-chennai-south-1135-sq-ft-to-1225-sq-ft-npspid-X81783280
N/A,"Rs. 5,000",0,N/A,"New perungalathur, Perungalathur",Chennai South,9,12,Furnished,N/A,NO,12.90945826,80.0918448,https://www.99acres.com/paying-guest-pg-for-rent-in-new-perungalathur-chennai-south-r5-spid-I50909722
